mlb;sku;gtin;title;date_created;ultima_venda;status;parent_item_id;tipo;envio;stock_total;stock_source;stock_variations_count;sales_units;sold_value_cents;variation_id;variation_name
MLB1317970155;35305;7908274417896;Poltrona Decorativa Nina Capitonê Suede Terra - D'rossi;2019-09-13;;active;;Premium;Por conta do comprador;1000;item;0;;;;
MLB871509698;17202;7890000174190;Kit 02 Cadeira Poltrona Decorativa Liz Corino Bege Branco Liso;2017-05-25;;active;;Premium;Por conta do comprador;153;item;0;;;;
MLB1115491482;21887;7908670854356;Kit 04 Pés Palito De Madeira 30 Cm - D'rossi;2018-10-09;;active;;Premium;Por conta do comprador;296;item;0;;;;
MLB1115167556;2874;7890000172301;Cadeira Eiffel Charles Eames Madeira Sala De Jantar Branca Branco;2018-10-09;;active;;Premium;Frete gratis;27;item;0;;;;
MLB1271635732;32121;7890000274944;Sofá Retrô Namoradeira Elisa Suede Terra - D'rossi;2019-07-11;;active;;Premium;Por conta do comprador;1000;item;0;;;;
MLB1115164031;20152;7890000205191;Cadeira Jantar Escritório Eames Eiffel Base Madeira Azul;2018-10-09;;active;;Premium;Frete gratis;48;item;0;;;;
MLB871509697;3354;7890000175500;Kit 02 Cadeira Poltrona Decorativa Liz Corino Branco Branco Liso;2017-05-25;;active;;Premium;Por conta do comprador;153;item;0;;;;
MLB970275688;5660;7899250189145;Kit 02 Poltrona Decorativa Lívia Corino Cinza - D'rossi Prateado;2018-01-31;;active;;Premium;Por conta do comprador;500;item;0;;;;
MLB1118849183;22261;7908439213981;Kit Sofá Retrô 2 Lugares E 02 Poltronas Julia Suede Marrom Marrom Liso;2018-10-16;;active;;Premium;Por conta do comprador;500;item;0;;;;
MLB1118846739;22259;7908439213998;Kit Sofá Retrô E 02 Poltronas Julia Suede Marrom Rato Marrom Liso;2018-10-16;;active;;Premium;Por conta do comprador;500;item;0;;;;
MLB920248481;4814;7899250185079;Quadro Porta Tampinhas Mdf Madeira Vertical 20x60 Bar;2017-10-04;;active;;Premium;Por conta do comprador;2;item;0;;;;
MLB1118846731;22279;7908439213967;Kit Sofá Retrô 2 Lugares E 02 Poltronas Julia Suede Grafite Grafite Liso;2018-10-16;;active;;Premium;Por conta do comprador;500;item;0;;;;
MLB871500475;3328;7890002175638;Cadeira Poltrona Decorativa Liz Corino Bege D'rossi Bege Liso;2017-05-25;;active;;Premium;Por conta do comprador;306;item;0;;;;
MLB1152887446;24683;7908439215121;Kit Sofá Retrô Namoradeira E 03 Poltrona Julia Suede Grafite Cinza Liso;2018-12-11;;active;;Premium;Por conta do comprador;333;item;0;;;;
MLB1034764122;6584;7908439207270;Kit 02 Poltronas Decorativa Stella Suede Preto Pés Palito Preto;2018-05-22;;active;;Premium;Por conta do comprador;159;item;0;;;;
