mlb;sku;gtin_antigo;gtin_novo;title
MLB1552912348;38301;-1;7890000325158;Esteira Para Braço De Sofá Porta Copo Reto Azul Turquesa Azul
MLB2054663587;1960;-1;7890000163163;Bandeja Esteira Para Braço De Sofá Porta Copo Alumínio Azul Azul
MLB1928755449;53808;7908477223904;790847722390;Cabideiro Arara Closet Aéreo Nicho Suspenso Dakar 62cm Preto Preto
MLB2220086021;63455;7908575904415;7908575904422;Pássaro Em Cerâmica Decorativo Rosê 15x18x7 Cm - D'rossi Rose
MLB2214141091;62791;7908477298193;7908477298209;Enfeite De Metal De Parede Preto Coração 30x20x1 Cm
MLB2222678551;63443;;7908575904262;Suporte Decorativo De Madeira Sonhe Branco 6x6x5 Cm Branco
MLB2770314553;70371;7908575946057;7908575998353;Kit 02 Poltronas Giovana Corano Nozes Pés Palito Natural Marrom Liso
MLB2772035695;70663;7908575963825;7908575998223;Kit 01 Namoradeira E 02 Poltronas Giovana Veludo Verde Verde Liso
MLB2772029186;70843;7908575963245;7908575998087;Kit 01 Namoradeira E 01 Poltrona Giovana Veludo Bege Bege Liso
MLB3226997859;77849;;7908670854554;Tábua De Passar Com Balcão 01 Porta Alice Branco 119 Cm Branco
MLB3236272799;63445;7908575904279;7908575904286;Suporte Decorativo De Madeira Gratidão Branco 6x6x5 Cm Branco
MLB3654700248;78845;;7908670860463;Sofá Namoradeira Lana Corano Preto Base De Madeira - D'rossi Preto Liso
MLB3750067900;33919;-1;7908274410583;Poltrona Sala Decorativa Elisa Giratória Madeira Sintético Pu Nozes D03 - D'rossi Liso
MLB3828058360;57605;7908477253680;7908477245012;Adorno Coração Decorativo Deitado Dourado Em Cerâmica 10x11 Dourado
MLB3829717240;50908;;7908439287562;Poltrona Giratória Stella Suede Preto Base Madeira Mm30 Liso Preto Liso
MLB3831149160;54468;7908477228763;7908748163120;Poltrona Sala Decorativa Marisa Aço Industrial X Preto Suede Cinza Liso
MLB3391996875;57419;7908477251327;7908670802883;Kit 02 Poltronas Giovana Corino Preto Pés Palito Castanho Liso
MLB3389524845;74099;7908575983748;7908575983854;Espelho Com Moldura De Plastíco Rosê Alça Caramelo 65x43,5cm
MLB3391761919;74212;7908575990883;7908575992368;Poltrona Sher Tipo Costela Corano Branco Pés De Ferro Liso
MLB3399866891;33923;7908274409822;7908748143641;Poltrona Elisa Couro Nozes Com Linho Bege Pés Palito Desenho Do Tecido Liso
MLB3415514197;62697;7908477297257;7908477297455;Vaso Decorativo Barca Preto 17x63x17 Cm - D'rossi Vaso Bacia Decorativo
MLB3416464689;62805;7908477298513;7908477298520;Enfeite De Metal Com Base Em Madeira Família 10,5x27x4 Cm
MLB4065382856;57707;7908477253932;7908477247818;Bandeja Decorativa Quadrada D'rossi Metal Prata Espelhada 21cm
